Algorithm_name,env_n,estates_n,solution_found
BFS,1,65,True
DFS,1,421,True
UCS,1,65,True
BFS,2,30,True
DFS,2,988,True
UCS,2,30,True
BFS,3,127,True
DFS,3,1089,True
UCS,3,127,True
BFS,4,137,True
DFS,4,573,True
UCS,4,137,True
BFS,5,57,True
DFS,5,1233,True
UCS,5,57,True
BFS,6,69,True
DFS,6,2277,True
UCS,6,69,True
BFS,7,36,True
DFS,7,298,True
UCS,7,36,True
BFS,8,103,True
DFS,8,1959,True
UCS,8,103,True
BFS,9,73,True
DFS,9,379,True
UCS,9,73,True
BFS,10,105,True
DFS,10,559,True
UCS,10,105,True
BFS,11,27,True
DFS,11,1429,True
UCS,11,27,True
BFS,12,36,True
DFS,12,966,True
UCS,12,36,True
BFS,13,129,True
DFS,13,787,True
UCS,13,129,True
BFS,14,46,True
DFS,14,706,True
UCS,14,46,True
BFS,15,82,True
DFS,15,1092,True
UCS,15,82,True
BFS,16,50,True
DFS,16,664,True
UCS,16,50,True
BFS,17,52,True
DFS,17,916,True
UCS,17,52,True
BFS,18,51,True
DFS,18,1853,True
UCS,18,51,True
BFS,19,42,True
DFS,19,728,True
UCS,19,42,True
BFS,20,114,True
DFS,20,880,True
UCS,20,114,True
BFS,21,81,True
DFS,21,345,True
UCS,21,81,True
BFS,22,84,True
DFS,22,1060,True
UCS,22,84,True
BFS,23,62,True
DFS,23,940,True
UCS,23,62,True
BFS,24,65,True
DFS,24,929,True
UCS,24,65,True
BFS,25,63,True
DFS,25,1797,True
UCS,25,63,True
BFS,26,60,True
DFS,26,1166,True
UCS,26,60,True
BFS,27,142,True
DFS,27,2522,True
UCS,27,142,True
BFS,28,95,True
DFS,28,1725,True
UCS,28,95,True
BFS,29,94,True
DFS,29,1596,True
UCS,29,94,True
BFS,30,92,True
DFS,30,226,True
UCS,30,92,True
